content,label
 aap  dont need the monsters like u,OAG
for tht those hv more thn  flats or  land is legal rest has to surrender properties to govt,CAG
once upon a time bengal / kolkata was most prosperous states in india|now it is compared with bihar / odisa|wake up mitra|use your knowledge to help bengal|rather than delivering stupid lecture,NAG
oh pak army or should say porki hijada army whose country did not excepted the bodies of their dickless coward army during kargil war|army which submitted infront of indian army in  and east pakistan became bangladesh|and hijada army could not even save school childrens from merciless killings and indian forces really reached lahore in ,OAG
he would be a lone boss with all the supporters shifts with kejriwal,NAG
we want to get rid of u indians|why do not u hear our loud cries,OAG
only  % of jio customers converted into prime|so they extended d date :beaming_face_with_smiling_eyes:,NAG
loot of people ' s mandate|is it democracy,OAG
again the same thing in eyes of judiciary he is not terrorist he is accused in our eyes is terrorist and he deserved to killed who ever keep a bad eye on our nation he are she should be killed without no mercy,OAG
this problem is occur only in india not in other countries,CAG
 positional buy jpassociate on every decline  | - | - | - |  for target    and   (  time frame   -   years  ),NAG
in government office implement the online transactions|also all parties should show off their account transaction for running their elections in  rti ,CAG
dramebaaj anna kya bjp ki government aate hi lokpal bill aur lokpal bhool gaye baat karne mae sharm bhi nahi aatee,OAG
unfortunately this is wat indian govt is capable of doing|i dint vote for modiji to see such crap,CAG
it ' s coward like u who backstab|just wait and watch|u forgot the day when  lakh porkis soldier were freed from india|by the way what r u doing in indian news channel|dont your country have your own channels,OAG
hi anuj brought divis to days at  what to do and tata motor dvr  any target,NAG
people talk about common man suffering all the time|this is the same country where thousands laid their lives for freedom|cant the common man endure little trouble to stand in queues for the greater good,CAG
i visited  atm but i cont able to withdraw from money|not working,CAG
i know you people of nagaland and meghalaya hate bjp but its the truth  lok sabha seats from those  states can not stop bjp assam and arunachal yes it matters but these states are becoming strongholds of bjp day by day including manipur tripura and sikkim,NAG
modi ji|all the pain & nö real gain,CAG
"hell with  bjp |all political parties are corrupt and i do not like anyone|they are there to only make money whomsoever you may vote|but supporting naxalites who kill our soldiers|taking side of  jnu  students who shout "" bharat ke tukde katenge "" and afzhal guru tere katil jinda hai and very recent "" there is nothing wrong in chanting pakistan zhindabad "" are all attributed to this man|hence he is decidedly antinational",CAG
it was mobbing the poor girl|instead of helping her|jump into conclusions|impulsive,OAG
oh|i get it|he ' s saying ' screw you bajaj|for making me do this ',OAG
udhav has shown bjp its place|bravo shivsena,CAG
unebeivable atory|some time back india was wrongly claiming surgical strikes in pakistan and now claiming surgicam strike by pakistan|wrong again,CAG
please advice about bank nifty & how the  npa  will benefit for  psu  banks,NAG
plz share ur view on astec life|bought at ,NAG
we should use offensive defensive strategy doctrine|learn lessons from israel|and give free hand to security forces and covert missions inside pak to bleed pakistan,NAG
tollywood parbhas die heart fans where is parbhas acting in bahubali  :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: bahubali  it ' s graphics cartoon movie do not compare indian cinema bollywood movies khan acting aamir|salman & shahrukh acting,CAG
shame shame & then these lowly so called educated civilised popation of pakistan claim pakistani army to be professional soldiers|they true are professionals but are professional terrorists|certainly not soldiers|not only india & indians but the global world is now understanding & recognising them as professional terrorists,OAG
india must prevent pak soldiers to cross  loc  and their coming into india stealthily at all cost|for that purpose we should use bullets liberally|at the same time|india should also slap a trade embargo on pakistan|and urge and convince the us and other powerful nations to introduce economic sanctions against pakistan for an indefinite period|then only this terrorist state would be brought down to its knees,NAG
haram - pig pig - scavengers scavengers - eat dead harm dead - mutilation mutilation - pakistan pakistan - pig,OAG
on the other hand reliance jio is giving for 3 k -  months subscription to unlimited calling (  std |roaming )|unlimited 4 g ( this means actual 4 g speed )|oh and wait|they extended this plan from  months to  for the early customers|airtel has got to lower their 4 g / 3 g rates|for  just 5 gb internet|<sad>,NAG
mistry has to substantiate wrong doing by tata sons : tata counsel,NAG
what is the view on suzlon energy in view of the purchase by canadian solar,NAG
baba always wants to encash the emmotional atmosphere hes lost his sheen drastically dramatically,NAG
people will be happy if they have at  km,CAG
please do not lose the series|it ' ll be shameful to lose against this australian team at home,NAG
well said,NAG
india has become a leading country in mobile data usage : mukesh ambani,NAG
agreed,NAG
where is intolerance indian groups|where is all|khan|amir khan muslim|on talking every thinks,OAG
tweet or hate,CAG
indian express found shirish kunder more acknowledgeable personality for front page news - - - this is where standard of indian express gone down - - oh i forgot wife of sitaram yachur is resident editor of indian express - - - then it is ok,CAG
 entertainment  | karan johar might have justin bieber to kick off the sixth season of  koffee with karan ,CAG
but that ' s hypothetical| bjp  will never win,CAG
mohit soni this is reality bro please read carefully,NAG
 lakh to both ( unbiased approach ) regardless of rank of medal :thumbs_up: :thumbs_up:|proud to be a footballer :neutral_face:,NAG
pakisthan has got no guts to admit any thing true|liars,OAG
i am not a salman fan mate but i think you are a fan of zee news nano chit in  notes and lets not talk about intellect here coz people who have low intellect judge people based on their choices,CAG
- - - - majority of kashmiris are pro - india but are unable to assert effectively in order to bring normalcy in kashmir hence on invitation i will be going to kashmir where with all the pro - india kashmiris we ( through political movement ) will try to bring normalcy in kashmir and also to solve kashmir problem as mentioned at : - http :// aapress|com / ethnicity / indian / another - opportunity - to - solve - kashmir - problem / or http :// we |alwihdainfo|com / another - opportunity - to - solve - kashmir - problem_a43528|html or http :// we |pakistanchristianpost|com / letterdetails|php|letterid =  or https :// groups|yahoo|com / neo / groups / kashmir - global - network / conversations / messages /  regards email : hemraj_jain |com,NAG
but lynching was never a part of the freedom struggle but how can the chaddis who were always chamchas of the british know that,CAG
sham on you,OAG
dear india|stop playing with the emotions of your people for votes,CAG
why do not you compare the five worst riots post independence and let us know where he faltered more than the congress cms of the other riot hit states,NAG
i remember japanese fan doing that during last  fifa  world cup|now am wondering if mizo ' s are decedent ' s of japanese during world war ii in famous battle of kohima between britishers and japs :squinting_face_with_tongue: :squinting_face_with_tongue: :squinting_face_with_tongue: p|s|pun intended,NAG
when is work on nh -  getting completed|particluarly hero honda chowk,NAG
anna hazare is agent,CAG
ask the khans to do it|any ways they kill them when drunk|and then start with being human,CAG
"you can be sure that the gunman was a white american ( christian and not a muslim )|otherwise the headline would read "" muslim "" and not "" beer - drinking "" as the first word|there would be more calls for trump ' s "" muslim ban ""|which the world ' s laughing stock has failed to implement - but will the great orange one now call for a "" beer - drinking ban """,CAG
if you cannot do any good for your country at least support those who are trying to do something better for country|today whole world recognise india just because of modi,CAG
and these are the people promising not banning beef in the north east|hypocrisy at its best,OAG
you should not take this guy seriously|after all his only contribution is producing three children,OAG
all indian muslims are anti indians just they are waiting to become how soon they will become majority people and grab india|and always their heart sympathy with pakistan and out side they shows they love india|all farce,OAG
what the hell is happening :thinking_face:,OAG
man what ' s with you people copy pasting the same comment everywhere|do not you all get tired,CAG
amma will always remain in our hearts may her noble soul rest in peace,NAG
i like,NAG
as per zee news  for seats for  bjp  in up|total constituency is |two seats given by zee news on free of cost,CAG
irony is your display picture at one end you are happy seeing some one innocent dying and at other end you are praying to not kill an innocent,CAG
what about tata motors|has there been over reaction|what ' s your view,NAG
you army entered like thief ' s in our territory|your army - men are cowards|india did surgical strikes and informed informed your army,OAG
no one can defeat modi now bihari people might be saddened they dint elect bjp jdu a burden for them,CAG
anuj and porinju of the view that markets will make a new high before the budget,NAG
so called seculars ruled nation for 6 0 yrs and they did not even banned  rss |lol,OAG
 salute  you my friend,OAG
this puppet came out for  mcd  election  chutiya ,CAG
they r getting benefits as those areas r not getting used that ' s why ' s|start ing roads will make them weak,CAG
r u guys from dis university|gaurav seth pj anshu mishra shubham singh,NAG
it ' s alright|we lost a match not the series|losing & winning is part of the game you can not always win every game|you win some|you lose some,NAG
so they fired across the border then went in to mutilate the corpses|sorry i do not buy this at all,CAG
do you see nifty hitting all time highs within this expiry,NAG
yes sir|that|of course will happen|when cow become president|pm|cm|mp| mla  and human loiter on road foraging for food|dying after swallowing plastic,CAG
let us accept the fact that we have a mini pakistan here & many pro pakistani anti national elements exists within the country|which are being funded by enemy countries to weaken the integrity|peace & security of the nation by the help of few heavyweight traitors in politics|be it in north - east|kashmir or hyderabad as long as a large section of fringe elements for their short term political or monetary gains prefer to destabilize the economy or national integrity following the support of external forces|resolving the issue of pakistan or china will be a distant dream for mr modi & his associates|unless the rotten fishes are taken out from the pond we cannot expect a clean system,NAG
winning elections is not important but living upto expectations of citizens|these days people blindly vote for religion not development frankly speaking we need activists of all like minded people who want to experience unbiased development these group of activist should keep a legal check on  politicians |beurocrats to see they are functioning properly and not squandering public money|this is only way to save our country from religion based and corrupt politicians,OAG
guess what|all this happens daily right,OAG
congratulations,NAG
 or  lakh|in the end|truth prevails and the truth is that kejriwal delivers|period,NAG
true|any good work is opposed by group of vested interest|in fact our political parties often support such elements in search of vote banks|aggressive media activism is also absent|hi,CAG
would like to know on welspun india| rec |wockhardt| gati |and metalyst,NAG
true,CAG
guys|how long we bear this nussiance|are we so weak that we cannot give a befitting reply|:pouting_face: :pouting_face: :pouting_face: :pouting_face:,NAG
however|reservation is not poverty alleviation scheme|it is there for only those social groups|historically who has been exploited|marginalized|rendered weaker|muslims wanted window within obcs|supreme court says|you can create subwindow within obcs|without breaching barrier|but not on the basis of religion,CAG
jokes are made very seriously|this is indian way of doing business - fear of uncertainty,NAG
i am for freedom of speech but against the lampooning freedom of speech of another young person,CAG
if they not then their image will be further deteriorated,OAG
we will see a new battle btwn tata sons and shapoorjees,NAG
mens blame|daily soaps for women s|mental violence against men,NAG
and there was a time when we had congress both at the state and at the centre| years in assam and  years at the centre|and most importantly a pm nominated from assam,NAG
he should be payed by police who kept the money with them|or as promised  rbi ,CAG
yes|antonio|for us|god is within us|so everything / everyone is a manifestation of god to the followers of the sanatana dharma,NAG
our president has no history like modi who kills thousand muslims in gujrat,OAG
mouni baba open mouth,CAG
anna|unfortunately|has lost all credibility|he has conveniently forgotten the lokpal bill|he is saffron under the skin|kejriwal on the other hand transformed the face of indian politics|the major parties have quietly adopted everything he stood for,CAG
" )|rule says that loudspeakers should not be used between  and | ) "" if muslims have the right to give azaan|non - muslims have the right to sleep peacefully|"" high court verdict",CAG
if india can fire on innocent civilians then mutilating their soldiers is fully justified,OAG
mohammad usman|get out from my country|partition was based on two nations theory|so  all muslims should have gone to pakistan ,OAG
i wanna meet the girl who said the iphone is user friendly,CAG
but it ' s a big decision and  tata  need to clear the air,NAG
hello anuj sir your views on just dial after this rally will this continue or profit booking,NAG
you are the best of all|:revolving_hearts: our cutiepie|all the best :smiling_face_with_smiling_eyes: for your film :movie_camera:  phillauri |:two_hearts:,NAG
please advice about bank nifty & how the  npa  will benefit for  psu  banks,NAG
that will soon happen when china will be depend on pakistan|supporting pakistan means end of humanity,OAG
hope u get well soon|my wishes for u|i got it there ' s no point wasting my time to make u understand anything|all the best buddy,CAG
correption made essy becouse 2 0 0 0 rs note are big amount as compaire to 5 0 0 rs and 1 0 0 0 rs,NAG
please leave this secular stands|do something good to society,NAG
in mumbai too many top politician will pray for his health,NAG
then what happens in pantry coach dedicated for catering in every express|do we really get food|meal from the picture above when we travel by indian railways|if yes then please let us know the name of the express|the fact is the railway passengers get pathetic food served in indian railways,OAG
there are many people who are dumb enuf to undrstand dese things,CAG
bhaiya sabse pahle ye hai kon|mahangaayi badhi to banwaas pr gaye hue the|note ban pr ese ghayab hue jaise gadhe k sir se seeng|patrol and eatables price hike pr to ye mr india ban gaye the k kahin dikhe hi nahi|or ab aagaye neend se jaag kar k chalo thoda publicity b lelun,CAG
congratulations bmp & modiji|please do something to develop india|except good speeches,CAG
obviously have not read about turning the other cheek|funny kind of christian fellow,CAG
modi ji ' s elevation too was so ominous that some sickulars and antidemocratic individuals declared that they would leave the country if he becomes pm|same black forces are now chanting the same mantras oblivious of the fact that this is 2 1 st century and people can differentiate between chalk and cheese,CAG
 nda  rules party :party_popper: good governance :squinting_face_with_tongue: :squinting_face_with_tongue:,CAG
what has bjp done in last  yr in  mcd |stop barking|do work now,OAG
thanks for acknowledging|i am a chelsea fan though so i am happier than you too|<happy>,NAG
bhai this is not mainstream|even mira rajput said third wave feminism is destructive|and yes|mainstream feminists are indeed bullies|they keep on rioting and creating ruckus|they hate free speech|they conceal facts|they project lies etc ( i have evidence for all of it|so please counter my perspective and not my facts ),CAG
these were happening  × |but the administration was always in sleeping mode,CAG
pm is lair means den u lair nd u praying god also lai,NAG
she has been so priveleged all her life|but we have to work to meet our ends|we do not get to make our choices,CAG
please comment on rain industry regarding today stellar result,NAG
royal enfield is icon|its not possible to shake image,NAG
bank of england is ready to infuse  of additional funds into the economy to help it tide over the economic crisis likely to be caused by brexit,NAG
so called  gau rakshaks |claim that they r protecting :cow: in d mother  gaumata |and dese  gundaz  sell der mother in d market| export  der mother to the other countries|when shes of no use for them| shame  on dese  bhakts ,NAG
communal feelings on peak in so called multicultural country,OAG
pappu is on leave till next election <laugh>,OAG
dear indian express|i feel sorry to write that your journalists are out there to misinterpret events and present them in a distorted manner just to make some sensational headlines|the news about upcoming singer nahid afreen has been prepared without proper research and investigation|it was very sad to see that your journalists do not even know the difference between fatwa and appeal|a fatwa is a non - binding legal opinion issued only by a qualified jurist ( mufti ) on a request by someone who is unable to understand religious guidelines whereas the leaflet that is being circulated and presented as fatwa is just a hard copy of an appeal signed by  men who believe in religious practices|the merit of appeal can be discussed on many grounds and in many dimensions but first and foremost|an appeal can not be called a legal opinion ( fatwa )|we expect apology from your side for such a mistake,CAG
sharukh travels in a broad gauge|steam engine reporter can stop whistling for every steam during the news,CAG
agreed,NAG
heheheh how can you suppose that they care about their image|they ( pakistani ) are heading toward to sell whole nation to china in the name of  cpec ,OAG
matt ellis i would not believe a thing israel says|as israel lies like its sugar daddy america|it too claims to be a country that cares but when you look behind the curtain there is nothing but lies|hatred toward others and death,OAG
will metals rally for sometime now,NAG
ram  nath  ji goenka must be feeling shame on his successors,OAG
really mr|jack|then plz reveal how much black money is destroyed|banks received around |<percent> of | notes back in accounts then where is the black money,NAG
he should be allowed to travel in goods train carrying beasts|he is as worth as they are|that luxary is more than enough for him ( it|),CAG
not surprised|perhaps u did not hear d news of launching of cow - ambulance service in up recently|no ambulance service for poor n needy but focus is on cow|ridiculous,OAG
haha|so  years no development|only loot|good you accept now,NAG
pak army intruded into indian terrirtory|killed indian soldiers|had some laugh cup of tea with biscuits|mutilated their bodies and went back to their barracks|now tell me while this all rubbish was happening what were indian border forces doing watching mia khalifa and sunny leone,OAG
heh turkey is the 3 rd class pathetic country i know,CAG
do not u think u r going too far u son of a b * * * *| nigam ,OAG
 bjp  won  seats more than  seats of |this is not win at all| seat win of siva sena is land mark win according to this toilet paper,OAG
� :heart_suit:  python  :heart_suit:  bot  :heart_suit:  team  :heart_suit: ♪ - - - - »  tayyab  - <laugh>|tk « - - - - ♪ :heart_suit: ♡ o| bot owner  :anger_symbol:  tayyab khan  :anger_symbol:,NAG
surgical strike by pakistan and we do surgical strike through media|long live modi diplomacy| save india ,NAG
no,NAG
digesting cattle food,CAG
mr|kunder correct your facts|prove it he is goon,NAG
illiterates have started teaching to highest literacy rate people now|do u know ur literacy rate in world among muslims|it is just |<percent>|horrible|the lowest literacy rate among all religions,CAG
our hon ' ble governor is best but some one not,CAG
for maintenance bajaj will keep the bike and you have to get it from the workshop when u need it,NAG
sitaram yechury is an amiable person from the marxist lobby dominated by the hardcore ideologues|as a member of the upper house he contributed very constructively,CAG
you mean investment made with relations and friends of the above,NAG
we still support modi sarkaar rather than chor congress|modi sarkaar is much more better & stronger than chor congress,OAG
if it is to be banned|then it should be banned for all other religions as well,CAG
jio effect|its like modi { jio } and rest all,NAG
you can not escape from the sin of promoting this useless fellow,OAG
ex pm spoke jst wt he has to speak as opposin member|other than ntng,NAG
sanghi dose mila hai annaji ko fir se kyunki delhi me jo  mcd  election hai filhal|ab sab ko samajh gaye hai lokpal aur corruption crusader kitne paani me hai aur kis k saath hai,CAG
this is time invest in bank stock specially  sbi  & icici,NAG
who care what she eat|even she eat poo we do not care,CAG
if i live in the country where mob behaves like this and have licence to kill then i feel shame|by ur logic|taliban is also right who stone to death people,NAG
time to  laugh at death |have you tried it yet,NAG
time come to close  jnu  by government|why this type of institute is run by wasting our tax money|if  jnu  students have guts then please earn some money then pay your fees|why tax payer money wasted| shameful ,OAG
 people died and indian express finds humour in it|rip journalism,CAG
lol indian army :dog_face: pig army ha world  largest and  time greater can not fight with pakistan :face_with_tears_of_joy: :face_with_tears_of_joy:,OAG
modi banded  -  notes|so his next step should be to band congress party,CAG
transformational and reinventing sustainable india|also|rebuilding credibility of core hindu value of live and let live with mutual respect for all,NAG
kashmiris also not against people of india but indian occupation,NAG
what does the word cost mean|does it take foreign debt into consideration|does it consider human wealth,CAG
cnbc tv  knocks out competion on  budget  congrats,NAG
fcuk off shikha sharma,OAG
mr|narang it ' s just the matter of time|i am not stupid enough to believe that govts works for the betterment of masses|you need to read thoroughly the prince by niccolo or the republic by plato|i am sure once this govt complete it ' s term in the office we will have bigger scams to quote|and that ' s what dr|manmohan singh is talking about,CAG
hope car occupants are safe and unharmed,NAG
hello|what will be sun pharma in short term and long term,NAG
tit for tat in the same way|modi request u to plz do action asap,NAG
for what reason|ifu,CAG
nothing new on it|indians only gossip|take action instead of spreading failures,CAG
it is remain to be seen how  inc  ( up -  uttarakhand  -  manipur  ) will attract  first time  highly tech savy voters towards the  inc  as spikes in the recent up poll pc points to the massive participation of this section in the poll|moreover| mann ki bate  directly points to this section relentlesly :heavy_check_mark:,NAG
i want to upgrade from my  cc to 4 0 0 cc,NAG
tech mahindra down nd other it stock up like tcs infy wipro,NAG
she is just doing a cheap publicity stunt|may be she wants to be in big boss,OAG
its like duke  why they took so much time to launch it|just give a name & changing some out look & reduce price,NAG
no respect for him now,NAG
sehwag your comments made no sense at all|you should not have made the stupid comparison|there is a big difference cricketer and a martyr,CAG
i bought one plus  just about two months ago| days back i dropped it and got the entire screen cracked|though it is working fine|but i am not able to repair it due to unavailability of service centre in jammu & kashmir|it ' s frustrating,CAG
that ' s what happens when you can not discern between a military activity and an act of barbarism|remember the  nli |bodies of whose soldiers you refused to acknowledge during kargil conflict|so|keep your knowledge to yourself and live in your own fantasy land,OAG
cows are definitely gonna vote for modi ji in |),CAG
congress mukt bharat k saath saath tumlogo ka v safaya ho jayega|haram khoro| yrs me  hindu ka converstion hua islam me|is par kya bologe|chutiya|party of india  cpi ,OAG
why am i not surprised|another dictatorship begins to form,CAG
a true legend|simply unparalleled|kudos to the greatest philanthropist,NAG
stupid survey :thumbs_down: :thumbs_down: :thumbs_down:,OAG
anna hazard is a novice now|his voice has got no value,CAG
isro copied my face book technology - - - as simple as that,NAG
well kuwait is an american colony isnt it,NAG
this time your post is much more positive then previous one sir  mukherjee <laugh>,NAG
we have enough support already|turkey is not our ally more like a traitor & have come to solve kashmir issue lol,CAG
i support his speech| rss  is divider of country|they do not want to stay peace in india|communal,OAG
"perfect example of "" vridha asharam - when people can just see and repeat words which they have heard in early morning "" indian media is using  aana ji  to take only wrong or negative comments either it ' s for  bjp  or  aap |but would say  poor performance ",CAG
this would be the first time in the history of nobel prize that a bitch ' s name is being proposed along with  humans ,OAG
do you have any doubt|why was he holding some many pistols and ammunition etc|if he is not when police rounded up why was he holding up and firing at police,CAG
of course nothing can be made in porikistan except training the militants|that was well known to chinkis & they took advantage of it they r colonising in pokistan looting thier reserves through cpec,OAG
name any minister or  mla  / mp whose son is working in  army  /  bsf  /  crpf  or has sacrificed their lives for the nation while serving at the border||name any minister or  mla  / mp whose children are going to government schools||name any minister or  mla  / mp whose family is treated in common government hospitals and not big private hospitals||name any minister or  mla  / mp whose children do not own big luxurious cars / homes millions of rupees||name any minister or  mla  / mp whose family has not visited abroad on taxpayer ’ s money||name any minister or  mla  / mp whose family do not stay in  star hotels when they visit other states within the country||name any minister or  mla  / mp whose family couldn ’ t get a railway or plane ticket even an hour before|there is a big such list|they can make us fool by saying all people are equal|but the reality is what we all know and experience,NAG
bt massive win|seriously,CAG
now this idiot realises truth after being slave of a single family rule|who destroyed our nation all these years,OAG
hi anuj|can i have your view on balkrishan industries and sun pharma,NAG
mr|macchiwala i have spoken to muslims in gujrat and they were thankful to him because he saved their lives|i do not know where do you get this idea that modi is responsible for riots,CAG
sir you have open the doors of competition in the telecom market|good bless you,NAG
govt has to care of army more than  rss |else it will be  rss  vs indian army,CAG
is actually kassab hanged and died natural death out of dengue|we have doubt and govt should release video evidence to prove that kassab was actually hanged,NAG
first of all finish these so called intellectual who are supporting anti - national,NAG
please do not change|kujliwal is needed for  bjp  just like rahul gandi,NAG
it ' s  already but program is still not aired,NAG
why linux is free and virus proof|why microsoft windows so expensive|why it is not virus proof|why all pc manufaturers prefer microsoft windows over linux,NAG
tow terrorst killd at bouder|indian army is a terrorst mob,CAG
i have a question for you sir|can you please name the temple please also which kashmiri pandits are chanting bhajans,CAG
you are great n no doubt we are with you,NAG
"also according to her feminists who are "" aggressive "" are comparable to nazis|does she even know who nazis were and what happened during the holocaust|is she really comparing "" aggressive feminism "" to genocide",OAG
pakistan is sending dead bodies to india|<laugh> like yesterday attack,NAG
invested in technology to secure transactions|differentiate bank from other players : shikha sharma,NAG
in graduation there is a sub|of political science|if u knw thn this pist opinion poll playing very important role in terms of propaganda|to set people mind,NAG
and watch it  / |and dont watch anything else,CAG
nonsense,OAG
revenue projections have to be owned by minister irrespective of projections that is given by industry|that is the only perspective|he should think of scenario building and contingencies in case projections|that is the business perspective|he has to get beyond of self glorification and just own up his budgets,NAG
the country who has an illiterate pm like modi what the people can expect from him people are dying in india without home and food but pm busy in making adhaar card for animal it ' s really a shameful situation for  crore indian,OAG
anna you do not see the corruption of  bjp  and congress that ' s happening from past  years,CAG
could you ask vishal on his views on automation and artifical intelligence on how to reskill people,NAG
mah govt itself is at loss of  - annual revenue|plus this will increase unemployement|they are planning to rope in some km area of highway under concerned municipal dept|bars and shops in mumbai are already working|everyone knows govt will litreally go bankrupt without this industry such is the revenue from it,NAG
"vishnu sreevalsan on this mother ' s day you can greet them|"" hope your mummy stays yummy this mother ' s day|""",CAG
 entertainment  | after  nia sharma  was slut - shamed for posting a music video|the actor had the perfect response : she posted a second video,OAG
call in the airforce and bomb the hell out of dantewada,CAG
crocodile tears,CAG
it takes quite a while for mkts to consolidate|if u want cash immediately|get married to someone in the q and avail rs|| lakhs cash|do not forget to invite bank branch manager for the wedding to enable confirmation,NAG
friends|stop giving so much importance to these fools|chachunder|just,OAG
how come all the script that ' s mention on cnbc  /  never makes it tht,NAG
"""  jammu  &  kashmir state need business corridor  "" now j & k state people are in excitement and they were misguided by infiltrators|since  days i got thousands of reply ' s received from j & k state people and some of pakistan people ' s which was i wrote thesis|regarding intolerance in j & k state|here some people are depend by terrorist organisations and pakistan  militents  and other anti national elements|now they people are making stone pelting on army and police and they raised slogans favor to anti national attitude and wearing  isis  dressess and with pakistan flags|j & k state students need to get admissions in south  india  collages because there is no mutual understanding and interaction between j & k state and south states|in my verdict this is the big salvation for intolerance|need marriage proposals between south and north with j & k state people|j & k state suffer by lobour acts and implementations because there is no route map for life survive with good opportunities this is the major problem in j & k state that ' s why teenagers following unlawful act|need industrial hub in j & k state for better earnings|i request to prime minister  modi  ji that|please bring the new reforms for j & k state for better future to our citizens|jai hind  s v p yadav  journalist + ",CAG
should be stopped,OAG
yes,NAG
they will now transform into the bike|i just know it|human transformers,CAG
sir u carry on|india now understand who are fake,CAG
"pakistan on monday rejected india ' s accusation that it killed two soldiers in "" unprovoked "" firing and mutilated their bodies near the line of control in jammu and kashmi  drama ",NAG
in other words|indian army is saying pakistani soldiers went across the loc into indian side|mutilated the bodies of two indian soldiers and came back while no one on the indian side dared them engage|:face_with_tears_of_joy: :face_with_tears_of_joy:,NAG
what was the reason to see upswing in power sector today,NAG
he compared it with regard to infant mortality|having literacy rate does not give right to kill infants,NAG
do some research and ground work|dude|media is not giving correct pic|more than indian support modi ' s decision,NAG
shares prices of tata sons is going to be increased,NAG
anirban kundu so you are the pesticide,CAG
jio - a change|aweaome jio|slap to idea airtel,NAG
you proved yourself your mentality|read comment|understand intellectually|if you do not have any knowledge about visual technology|u should nt novice comment i do not comment about scripts,NAG
dear indian express|i feel sorry to write that your journalists are out there to misinterpret events and present them in a distorted manner just to make some sensational headlines|the news about upcoming singer nahid afreen has been prepared without proper research and investigation|it was very sad to see that your journalists do not even know the difference between fatwa and appeal|a fatwa is a non - binding legal opinion issued only by a qualified jurist ( mufti ) on a request by someone who is unable to understand religious guidelines whereas the leaflet that is being circulated and presented as fatwa is just a hard copy of an appeal signed by  men who believe in religious practices|the merit of appeal can be discussed on many grounds and in many dimensions but first and foremost|an appeal can not be called a legal opinion ( fatwa )|we expect apology from your side for such a mistake,CAG
congress is f @|ed because of gandhis|change them make sachin pilot president,OAG
it is a darma|no viletions by pak army|india army is a presure of unrest in country,CAG
hi team|i need some help from you|you people coverage everything|please coverage our village please|i stay in one village|our village still dint get the patta and chitta from our land since |all of the villages got this in india|in entire india only our panchayat dint get the patta and chitta for land|we have around  former housed|govt is saying formers are the back bone of india|we do lot of agriculture we dont get any facilities from government|we are struggling lot|please help i have reached lot of mlas and ministers they are asking bribe|my number @ ,CAG
now on wards|we have to follow new way with banks|in previous days we were deposited our total money and we with draw what ever req|we do|but now on wards we have to do need based deposits only,CAG
secure|lol,CAG
hypocrites are everywhere,CAG
transfer fee is the additional backfire on existing monthly budget,NAG
it is individual choice of being working mother or not working mother|no one has right to put forth their opinion on others|it is not a competition|rather it is justice to the talent of multi tasking which is not her cup of tea look like,CAG
so humble you are mukesh ambani|your pieces about entrepreneurs should inspire a generation|:folded_hands: :thumbs_up: :OK_hand:,NAG
we actually need strict application of laws for such senseless drivers,NAG
whether q2 expected to be good for bank stocks q2 result start from south indian bank tomorrow,NAG
